7zip 26.02-1
acpi_call 1.2.2-382
acpid 2.0.34-2
adw-gtk-theme 6.5-1
alsa-utils 1.2.16-1
asciiquarium 1.1-7
aubio 0.4.9-25
base 3-3
base-devel 1-2
bash-completion 2.18.0-1
bat 0.26.1-2
bc 1.08.2-1
blueman 2.4.6-2
bluetui 0.8.1-2
bluez 5.87-2
bluez-hid2hci 5.87-2
bluez-obex 5.87-2
bluez-utils 5.87-2
bmon 4.0-5
brightnessctl 0.5.1-3
broadcom-bt-firmware 12.0.1.1105-1
btop 1.4.7-1
cameractrls 0.6.10-2
catfish 4.20.1-2
cava 0.10.7-1
ccache 4.13.6-1
chafa 1.18.2-2
chromium 152.0.7977.64-1
clang 22.1.8-1
cliphist 1:0.7.0-2
cmatrix 2.0-4
compsize 1.5-2
cpupower 7.2.2-1
ddcutil 2.2.7-1
dgop 0.2.3-1
dkms 3.4.3-2
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.93-1
docker 1:29.7.2-1
dosfstools 4.2-5
dust 1.2.5-1
dysk 1:3.6.1-1
edk2-ovmf 202608-1
efibootmgr 18-4
ethtool 1:7.1-1
expac 10-13
eza 0.23.5-2
fastfetch 2.67.1-1
fd 10.5.0-1
ffmpegthumbnailer 2.3.1-1
file-roller 44.7-1
firefox 154.0.1-1
fish 4.8.1-1
flatpak 1:1.18.2-1
foot 1.27.0-2
fuzzel 1.14.1-2
fwupd 2.1.7-1
fzf 0.74.3-1
game-devices-udev 1.0-1
gamemode 1.8.2-3
gamescope 3.16.28-1
gammastep 2.0.11-2
gdu 5.37.0-1
git 2.55.0-1
git-delta 0.19.2-2
github-cli 2.98.0-1
gnome-calculator 50.0-1
gnome-clocks 50.0-2
gnome-disk-utility 46.1-3
gnome-keyring 1:50.0-1
gnome-themes-extra 1:3.28-1
gpu-screen-recorder 6.0.2-1
gpu-screen-recorder-ui 1.13.5-2
greetd 0.10.3-2
greetd-agreety 0.10.3-2
greetd-tuigreet 0.11.1-2
grim 1.5.0-2
gst-libav 1.28.6-3
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad 1.28.6-3
gst-plugins-base 1.28.6-3
gst-plugins-good 1.28.6-3
gst-plugins-ugly 1.28.6-3
gum 2.0.0-1
gvfs-afc 1.60.2-4
gvfs-dnssd 1.60.2-4
gvfs-gphoto2 1.60.2-4
gvfs-mtp 1.60.2-4
gvfs-nfs 1.60.2-4
gvfs-smb 1.60.2-4
hdparm 9.65-3
htop 3.5.3-1
httrack 3.49.12-1
hwdetect 2025.08.16.1333-1
hwinfo 25.5-1
hypridle 0.1.8-1
hyprland 0.56.2-1
hyprlock 0.9.6-2
hyprpicker 0.4.7-3
hyprpolkitagent 0.1.3-10
hyprshutdown 0.1.1-6
hyprsunset 0.4.0-3
iftop 1.0pre4-6
imagemagick 7.1.2.30-1
inetutils 2.8-1
inotify-tools 4.25.9.0-1
intel-gpu-tools 2.5-1
intel-media-driver 26.2.4-1
intel-ucode 20260812-1
inter-font 4.1-1
inxi 3.3.41.1-1
iotop 0.6-13
iperf3 3.21-1
iw 6.17-1
iwd 3.12-1
jq 1.8.2-1
kernel-modules-hook 0.1.7-3
khal 0.14.1-1
kio-admin 26.08.0-1
kitty 0.48.2-1
lazygit 0.64.1-1
less 1:704-1
lib32-mesa 1:26.2.1-1
lib32-nvidia-utils 610.57.04-1
lib32-opencl-nvidia 610.57.04-1
lib32-vulkan-intel 1:26.2.1-1
libdbusmenu-qt5 0.9.3+16.04.20160218-8
libgepub 0.7.3-2
libnotify 0.8.8-1
libopenraw 0.3.7-2
libqalculate 5.12.0-1
libva-nvidia-driver 0.0.17-1
libva-utils 2.24.0-1
limine 12.6.1-1
linux 7.2.2.arch1-1
linux-firmware 20260810-2
linux-headers 7.2.2.arch1-1
logrotate 3.22.0-1
loupe 50.0-1
lshw B.02.20-3
